Date (yyyymmddhhmm),CO2 (ppm)
196908201755,323.17
196908201755,324.72
196908201830,331.02
196908201830,-999.99
196908271915,-999.99
196908271915,326.28
196908271950,322.87
196908271950,342.19
196909021920,320.32
196909021920,320.31
196909022000,322.9
196909022000,-999.99
196909121750,320.79
196909121750,320.44
196909121830,321.15
196909121830,321.4
196909241755,320.28
196909241755,320.25
196909241840,321.76
196909241840,321.27
196910031750,320.66
196910031750,320.41
196910171755,321.4
196910171755,321.3
196910171900,320.74
196910171900,320.37
196910311750,320.5
196910311750,320.23
196910311850,320.7
196910311850,321.03
196911191750,323.09
196911191750,322.7
196911191850,322.7
196911191850,321.9
196912101745,322.94
196912101745,323.07
196912101830,323.29
196912101830,323.31
197001122035,325.59
197001122035,324.85
197001122225,324.73
197001122225,330.81
197001240000,325.64
197001240000,325.4
197001240045,332.27
197001240045,347.49
197002061845,325.94
197002061845,325.62
197002061940,325.62
197002061940,326.7
197002170030,325.52
197002170100,324.61
197002170100,324.48
197003070045,-999.99
197003070045,326.49
197003070130,325.6
197003070130,325.93
197003280015,335.7
197003280015,325.82
197003280050,325.33
197003280050,325.51
197004070000,354.5
197004070000,336.4
197004070115,323.59
197004070115,325.81
197004172350,327.58
197004172350,327.13
197004180035,326.08
197004180035,326.2
197005011800,328.73
197005011800,329.91
197005011900,337.26
197005011900,329.03
197005152350,327.16
197005152350,329.29
197005160045,326.76
197005160045,326.72
197006081800,328.04
197006081800,328.97
197006081900,327.66
197006081900,327.72
197007030015,326.2
197007030015,326.26
197007030115,323.21
197007030115,323.2
197007101745,326.55
197007101745,326.55
197007101830,326.53
197007241755,324.82
197007241755,324.7
197007241845,326.14
197007241845,326.14
197008122040,325.5
197008122040,325.4
197008122205,318.32
197008122205,317.89
197008241725,322.16
197008241725,322.21
197008241845,324.78
197009050015,320.85
197009050015,320.52
197009050110,317.35
197009050110,317.07
197009181805,322.36
197009181805,322.35
197009181915,330.61
197009181915,-999.99
197011240000,328.65
197011240000,346.23
197011240000,334.44
197011240000,326.08
197011240000,325.5
197011240000,327.53
197011240000,327.02
197011240000,397.56
197011240000,349.93
197011240000,329.25
197011240000,374.45
197011240000,380.48
197011240000,326.39
197011240000,327.72
197108032030,326.49
197108032030,325.91
197108032230,325.37
197108032230,325.99
197108040030,325.42
197108040030,325.09
197108040220,325.57
197108040220,325.48
197108040430,325.34
197108040430,325.41
197108040630,325.61
197108040630,325.53
197108040830,328
197108040830,324.91
197108041030,326.72
197108041030,325.61
197108041230,325.32
197108041230,324.81
197108041430,324.99
197108041430,325.23
197108041630,325
197108041630,324.86
197108041830,325.47
197108041830,325.34
197405152330,333.99
197405152330,344.91
197405152330,334.14
197405152330,343.45
197405152342,377.35
197405152342,335.06
197405152342,336.58
197606182000,333.72
197606182000,334.02
197607162130,331.9
197607162130,331.9
197607301900,332.19
197607301900,332.38
197608062000,331.54
197608062000,331.41
197608131930,330.6
197608131930,331.32
197608152030,329
197608152030,329.34
197608192000,330.79
197608192000,330.89
197608242000,330.07
197608242000,329.92
197609032000,330.36
197609032000,330.3
197609102000,329.98
197609102000,329.98
197609172000,329.87
197609172000,329.97
197609212000,329.24
197609212000,329.24
197609301930,329.53
197609301930,329.44
197610150100,327.34
197610150100,328.16
197610200030,327.94
197610200030,327.83
197610260200,330.73
197610260200,330.8
197611011400,329.73
197611011505,329.59
197611011535,349.02
197611011535,329.28
197611012020,329.12
197611012020,331.34
197611042035,331.35
197611042035,330.98
197611102035,330.56
197611102035,331.23
197611191935,331.03
197611191935,330.75
197611232005,331.1
