Date,Station,Daily temperature,Minimum,Maximum
2018-02-26,133,4,-4.2,13
2018-02-27,133,6.3,-1.9,13.1
2018-02-28,133,5.3,1.4,9.9
2018-03-01,133,2,-3.2,4.8
2018-03-02,133,1.1,-6.2,8.7
2018-03-03,133,8.6,-1.7,18.7
2018-03-04,133,15.1,9.5,23.1
2018-03-05,133,6.6,3.3,14.5
2018-03-06,133,5.6,-0.4,12.5
2018-03-07,133,6.1,3.2,10.2
2018-03-08,133,2.9,0.6,6.2
2018-03-09,133,3.3,0.5,6.4
2018-03-10,133,4.1,-1.2,11.5
2018-03-11,133,7.7,2.2,14.8
2018-03-12,133,8.6,0.1,17.6
2018-03-13,133,12.4,2.9,20.8
2018-03-14,133,16.3,7.9,24.2
2018-03-15,133,13.7,10.6,15.8
2018-03-16,133,6.6,3.1,10.8
2018-03-17,133,7.6,0.4,14.8
2018-03-18,133,7.8,3,11.4
2018-03-19,133,8.3,5.5,11.1
2018-03-20,133,5.9,2.8,10.3
2018-03-21,133,1.2,-0.3,2.9
2018-03-22,133,5.2,0.5,12.2
2018-03-23,133,6.3,-1,13.9
2018-03-24,133,8.4,1.7,15.1
2018-03-25,133,10.9,4.4,19.5
2018-03-26,133,12.4,3.9,20.5
2018-03-27,133,13.9,6.3,21.5
2018-03-28,133,15.1,8.3,22
2018-03-29,133,16,10.7,21.5
2018-03-30,133,15.6,10.4,21.6
2018-03-31,133,15.9,9.2,23.1
2018-04-01,133,16,10.3,20.6
2018-04-02,133,18.3,11.5,25.1
2018-04-03,133,19.1,13.2,25.7
2018-04-04,133,13.2,9.4,18.2
2018-04-05,133,8.2,7.4,9.4
2018-04-06,133,7.8,3.5,13.4
2018-04-07,133,5,2.6,9.4
2018-04-08,133,8.2,0.8,13.4
2018-04-09,133,11.9,5.5,18.7
2018-04-10,133,16.2,5.3,24.2
2018-04-11,133,15.6,10.5,21.4
2018-04-12,133,13.9,6,22.2
2018-04-13,133,13.2,5.9,18.6
2018-04-14,133,9,7.2,13
2018-04-15,133,10.2,5.8,16.5
2018-04-16,133,11.6,3.3,18.9
2018-04-17,133,14.1,8.1,20.8
2018-04-18,133,13.6,6,22
2018-04-19,133,14.6,5.1,23.3
2018-04-20,133,19.2,9.1,29.9
2018-04-21,133,19.7,11,30
2018-04-22,133,16.3,12.9,21.6
2018-04-23,133,11.4,10.7,15.1
2018-04-24,133,12.1,10.4,13.8
2018-04-25,133,14.1,5.4,22.5
2018-04-26,133,15.5,7.2,23.9
2018-04-27,133,16.2,9.2,23.3
2018-04-28,133,15.9,9.6,23.1
2018-04-29,133,16.4,6.3,25.4
2018-04-30,133,20.3,13.4,27
2018-05-01,133,21.5,17.2,26.5
2018-05-02,133,17.8,11.3,23.4
2018-05-03,133,12.5,9,17.1
2018-05-04,133,15.3,7.8,22.3
2018-05-05,133,19.5,12.4,25.3
2018-05-06,133,16.3,14.9,20
2018-05-07,133,17.4,14.8,21.7
2018-05-08,133,16.5,12.7,22.2
2018-05-09,133,16.1,9.4,22.5
2018-05-10,133,16.7,11.2,23.6
2018-05-11,133,17.3,11.2,23.9
2018-05-12,133,15.5,12.6,18
2018-05-13,133,17.8,14.9,22.4
2018-05-14,133,19.6,13.6,26.6
2018-05-15,133,23.1,15.2,29.5
2018-05-16,133,25.3,22.6,27.1
2018-05-17,133,26.3,24.6,31
2018-05-18,133,20.1,15.7,25
2018-05-19,133,17.6,13.9,21.5
2018-05-20,133,16.8,10.8,22.6
2018-05-21,133,17.5,12.1,22.4
2018-05-22,133,18.8,13.8,24.9
2018-05-23,133,18.9,14.7,23.6
2018-05-24,133,18.9,10.8,26.4
2018-05-25,133,19.6,11.4,26.3
2018-05-26,133,21.8,12.9,30.5
2018-05-27,133,20.9,17.1,26
2018-05-28,133,23,15.5,30.5
2018-05-29,133,23.6,18.5,28.9
2018-05-30,133,22.4,18.3,27.5
2018-05-31,133,20.9,14.6,26.7
2018-06-01,133,23.4,15.9,31.1
2018-06-02,133,23.4,15.8,31.5
2018-06-03,133,23.6,15.8,31.1
2018-06-04,133,23.5,18.1,29.3
2018-06-05,133,23.9,19.3,28.7
2018-06-06,133,24.6,18.7,30.7
2018-06-07,133,24.6,20.5,30.6
2018-06-08,133,22.5,19.5,27.7
2018-06-09,133,23.1,17.6,29
2018-06-10,133,21.6,18.5,25.8
2018-06-11,133,20.4,18.1,23.7
2018-06-12,133,21.2,18.3,25.2
2018-06-13,133,22.8,16.5,28.7
2018-06-14,133,22.6,19.1,27.9
2018-06-15,133,21.5,17,26.4
2018-06-16,133,22.3,15.9,28.3
2018-06-17,133,23.5,17.4,29.9
